silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq
32,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,0.153846153846154,0.0106025261720528,0.105688202247191,0.0107888578203699,asian;black;male,yyyy,1 year
32,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,-0.0916083916083917,0.00780256373779284,-0.0909210835942014,0.00767856571368482,asian;black;male,yyyy,1 year
32,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,0.0913461538461539,0.0081977410158028,0.0881772041430311,0.00799489381960933,asian;black;male,yyyy,1 year
32,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,0.064102564102564,0.0105562720207691,0.0626636972443968,0.00992543579939132,asian;black;male,yyyy,1 year
32,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,0.0824175824175823,0.0113496107201578,0.081725957601674,0.0113818342471728,asian;black;male,yyyy,1 year
32,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,0.0347985347985348,0.00996747056250739,0.0147013938345711,0.0095693906706117,asian;black;male,yyyy,1 year
32,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,0.153846153846154,0.0109314735404738,0.152066166904157,0.011327334889461,asian;black;male,yyyy,1 year
32,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,0.0576923076923077,0.00898241920801092,0.0235354310565361,0.00916828345645212,asian;black;male,yyyy,1 year
32,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,0.214821763602251,0.0103594036114399,0.224897507646255,0.0102088190439616,asian;black;male,yyyy,1 year
32,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,0.0705128205128205,0.0111040693819293,0.067175572519084,0.0114473863931397,asian;black;male,yyyy,1 year
32,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,0.182954545454545,0.00729525240949005,0.184603554219842,0.00651740607927422,asian;black;male,yyyy,1 year
32,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,0.155710955710956,0.00965378341445631,0.157616350935694,0.00873574395319904,asian;black;male,yyyy,1 year
32,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,0.174025974025974,0.010447122113845,0.174488182466439,0.0103476737382595,asian;black;male,yyyy,1 year
32,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,0.126406926406926,0.00906498195619464,0.101779871440837,0.00819352983460142,asian;black;male,yyyy,1 year
32,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,0.245454545454545,0.0100289849341611,0.23517456908948,0.0106337997658732,asian;black;male,yyyy,1 year
32,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,0.149300699300699,0.00807993060169816,0.098672969036934,0.00838001541461743,asian;black;male,yyyy,1 year
32,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,0.306430155210643,0.00945691500512716,0.320569185574349,0.00908491792637514,asian;black;male,yyyy,1 year
32,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,0.162121212121212,0.0102015807756166,0.151143932812047,0.0104818339058483,asian;black;male,yyyy,1 year
32,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,-0.0476190476190477,0.0126120289385596,-0.08101111917322,0.0118275640821487,asian;black;male,yyyy,1 year
32,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,0.0714285714285714,0.013576031916526,0.0579931323922168,0.0129024922540734,asian;black;male,yyyy,1 year
32,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,-0.0247252747252747,0.0116269775840631,-0.059007998496611,0.0120037703858056,asian;black;male,yyyy,1 year
32,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,0.132404181184669,0.0130039619874921,0.180378051018535,0.0124590343730834,asian;black;male,yyyy,1 year
32,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,-0.0119047619047619,0.0137486277579815,-0.0328065613122626,0.0139980950940747,asian;black;male,yyyy,1 year
32,1997,0,1997;1996,1997;1997,0,1989-01-01,2000-01-01,0.119047619047619,0.0121938917588756,0.121584461693759,0.0121234835787343,asian;black;male,yyyy,1 year
32,1997,0,1998;1996,1997;1998,0,1989-01-01,2000-01-01,0.0228937728937728,0.0102448374264127,-0.033556827473426,0.00966511754854654,asian;black;male,yyyy,1 year
32,1997,0,1999;1996,1997;1999,0,1989-01-01,2000-01-01,0.180023228803717,0.0116218218298417,0.239902586959518,0.0109932032444113,asian;black;male,yyyy,1 year
32,1997,0,2000;1996,1997;2000,0,1989-01-01,2000-01-01,0.0357142857142858,0.0123664876003311,0.0313096601756395,0.0115870441827546,asian;black;male,yyyy,1 year
32,1998,0,1998;1997,1998;1998,0,1989-01-01,2000-01-01,-0.0961538461538462,0.0112088404043792,-0.112269948639276,0.0115963632623298,asian;black;male,yyyy,1 year
32,1998,0,1999;1997,1998;1999,0,1989-01-01,2000-01-01,0.0609756097560975,0.0125858248078082,0.116406513953645,0.0126789865932723,asian;black;male,yyyy,1 year
32,1998,0,2000;1997,1998;2000,0,1989-01-01,2000-01-01,-0.0833333333333335,0.0133304905782976,-0.0958949605880792,0.0135182403887945,asian;black;male,yyyy,1 year
